Month,Actual_Return_%,Value,Year
2015-02,-5.29,94710.0,2015
2015-03,-1.91,92901.04,2015
2015-04,8.69,100974.14,2015
2015-05,0.83,101812.22,2015
2015-06,-7.91,93758.88,2015
2015-07,-7.55,86680.08,2015
2015-08,-1.89,85041.83,2015
2015-09,-4.5,81214.95,2015
2015-10,-5.19,76999.89,2015
2015-11,0.25,77192.39,2015
2015-12,0.49,77570.63,2015
2016-02,7.03,107030.0,2016
2016-03,2.48,109684.34,2016
2016-04,-0.7,108916.55,2016
2016-05,-0.6,108263.05,2016
2016-06,-1.75,106368.45,2016
2016-07,-3.63,102507.28,2016
2016-08,-3.42,99001.53,2016
2016-09,-5.44,93615.84,2016
2016-10,-2.47,91303.53,2016
2016-11,-0.53,90819.62,2016
2016-12,-1.12,89802.44,2016
2017-01,-0.92,99080.0,2017
2017-02,-1.39,97702.79,2017
2017-03,1.13,98806.83,2017
2017-04,2.26,101039.86,2017
2017-05,1.09,102141.2,2017
2017-06,4.09,106318.77,2017
2017-07,2.43,108902.32,2017
2017-08,3.48,112692.12,2017
2017-09,-1.6,110889.05,2017
2017-10,-1.95,108726.71,2017
2017-11,1.42,110270.63,2017
2017-12,-2.84,107138.94,2017
2018-02,1.37,101370.0,2018
2018-03,-0.4,100964.52,2018
2018-04,0.71,101681.37,2018
2018-05,-0.44,101233.97,2018
2018-06,-3.32,97873.0,2018
2018-07,-1.88,96032.99,2018
2018-08,1.14,97127.77,2018
2018-09,-4.51,92747.3,2018
2018-10,-5.69,87469.98,2018
2018-11,-2.05,85676.85,2018
2018-12,-2.3,83706.28,2018
2019-02,2.29,102290.0,2019
2019-03,-2.01,100233.97,2019
2019-04,-3.13,97096.65,2019
2019-05,-5.25,91999.07,2019
2019-06,-0.68,91373.48,2019
2019-07,1.26,92524.79,2019
2019-08,-1.55,91090.65,2019
2019-09,-1.3,89906.47,2019
2019-10,2.8,92423.85,2019
2019-11,1.73,94022.79,2019
2019-12,-1.16,92932.12,2019
2020-02,-2.46,97540.0,2020
2020-03,-10.11,87678.71,2020
2020-04,-4.7,83557.81,2020
2020-05,-2.54,81435.44,2020
2020-06,-2.06,79757.87,2020
2020-07,315.06,331043.01,2020
2020-08,-1.32,326673.24,2020
2020-09,4.35,340883.53,2020
2020-10,-0.53,339076.84,2020
2020-11,-0.6,337042.38,2020
2020-12,1.45,341929.5,2020
2021-02,1.92,101920.0,2021
2021-03,1.78,103734.18,2021
2021-04,-0.35,103371.11,2021
2021-05,-0.27,103092.0,2021
2021-06,1.73,104875.5,2021
2021-07,1.89,106857.64,2021
2021-08,2.13,109133.71,2021
2021-09,-0.47,108620.78,2021
2021-10,-2.2,106231.13,2021
2021-11,-2.15,103947.16,2021
2021-12,-1.04,102866.11,2021
2022-02,1.65,101650.0,2022
2022-03,-0.05,101599.18,2022
2022-04,-1.51,100065.03,2022
2022-05,-4.7,95361.97,2022
2022-06,4.27,99433.93,2022
2022-07,4.09,103500.77,2022
2022-08,4.71,108375.66,2022
2022-09,-0.68,107638.71,2022
2022-10,-1.73,105776.56,2022
2022-11,-2.49,103142.72,2022
2022-12,0.64,103802.83,2022
2023-02,0.56,100560.0,2023
2023-03,-5.17,95361.05,2023
2023-04,-0.65,94741.2,2023
2023-05,2.48,97090.78,2023
2023-06,2.47,99488.93,2023
2023-07,3.98,103448.58,2023
2023-08,-1.38,102020.99,2023
2023-09,50.73,153776.24,2023
2023-10,0.12,153960.78,2023
2023-11,-3.06,149249.58,2023
2023-12,0.68,150264.47,2023
2024-02,1.03,101030.0,2024
2024-03,-21.2,79611.64,2024
2024-04,1.24,80598.82,2024
2024-05,-1.75,79188.34,2024
2024-06,-13.16,68767.16,2024
2024-07,-3.23,66545.98,2024
2024-08,23.45,82151.01,2024
2024-09,0.41,82487.83,2024
2024-10,-15.76,69487.75,2024
2024-11,0.51,69842.14,2024
2024-12,0.46,70163.41,2024
2025-02,1.81,101810.0,2025
2025-03,0.5,102319.05,2025
2025-04,-1.57,100712.64,2025
2025-05,1.25,101971.55,2025
2025-06,5.81,107896.1,2025
2025-07,6.73,115157.5,2025
2025-08,4.82,120708.09,2025
2025-09,7.09,129266.3,2025
2025-10,3.25,133467.45,2025
