Month,Treasury_Avg_Yield,Treasury_Avg_Coupon,Avg_Years_to_Maturity,Avg_Yield_Spread,Year,SP500_Return,Year_y,NSE_Avg_Return,SP500_Return_%,Value
2015-01,,,,,2015,1.38,2015.0,311.1399059816853,1.38,101380.0
2015-02,,,,,2015,1.38,2015.0,319.2458345182735,1.38,102779.04
2015-03,,,,,2015,1.38,2015.0,331.82473983504127,1.38,104197.39
2015-04,,,,,2015,1.38,2015.0,341.6364638111152,1.38,105635.32
2015-05,,,,,2015,1.38,2015.0,352.7304845537499,1.38,107093.09
2015-05,,,,,2015,1.38,2017.0,471.78505977217833,1.38,108570.97
2015-06,,,,,2015,1.38,2015.0,365.99294030431565,1.38,110069.25
2015-07,,,,,2015,1.38,2015.0,387.63349162944246,1.38,111588.21
2015-08,,,,,2015,1.38,2015.0,391.87860821724655,1.38,113128.12
2015-09,,,,,2015,1.38,2015.0,380.8256181524606,1.38,114689.29
2015-10,,,,,2015,1.38,2015.0,379.5255088193045,1.38,116272.0
2015-11,,,,,2015,1.38,2015.0,387.5264907908252,1.38,117876.56
2015-12,,,,,2015,1.38,2015.0,407.6804018950499,1.38,119503.25
