Month,Actual_Return_%,Value,Year
2007-02,-5.32,94.68,2007
2007-03,-17.75,77.87,2007
2007-04,-6.96,72.45,2007
2007-05,-2.85,70.39,2007
2007-06,0.05,70.42,2007
2007-07,3.15,72.64,2007
2007-08,0.34,72.89,2007
2007-09,3.04,75.11,2007
2007-10,-6.78,70.01,2007
2007-11,-1.02,69.3,2007
2007-12,1.75,70.51,2007
2008-02,-2.3,97.7,2008
2008-03,3.7,101.31,2008
2008-04,1.51,102.84,2008
2008-05,5.9,108.91,2008
2008-06,-0.2,108.69,2008
2008-07,-3.76,104.61,2008
2008-08,-8.34,95.88,2008
2008-09,-7.53,88.66,2008
2008-10,-12.63,77.47,2008
2008-11,-0.22,77.29,2008
2008-12,-7.09,71.81,2008
2009-02,-0.1,99.9,2009
2009-03,-7.29,92.62,2009
2009-04,0.87,93.42,2009
2009-05,1.88,95.18,2009
2009-06,5.82,100.72,2009
2009-07,3.69,104.44,2009
2009-08,-0.57,103.84,2009
2009-09,-3.02,100.7,2009
2009-10,-0.76,99.94,2009
2009-11,3.21,103.15,2009
2009-12,-0.87,102.25,2009
2010-02,2.09,102.09,2010
2010-03,11.94,114.28,2010
2010-04,4.27,119.16,2010
2010-05,3.77,123.65,2010
2010-06,-0.93,122.5,2010
2010-07,1.33,124.13,2010
2010-08,5.39,130.82,2010
2010-09,2.18,133.67,2010
2010-10,1.61,135.83,2010
2010-11,-1.47,133.83,2010
2010-12,-7.61,123.64,2010
2011-02,-0.66,99.34,2011
2011-03,-4.38,94.99,2011
2011-04,-0.33,94.68,2011
2011-05,-0.67,94.04,2011
2011-06,-4.01,90.27,2011
2011-07,-3.36,87.24,2011
2011-08,-5.57,82.38,2011
2011-09,-6.2,77.27,2011
2011-10,-1.72,75.94,2011
2011-11,4.93,79.69,2011
2011-12,-2.93,77.35,2011
2012-02,2.56,102.56,2012
2012-03,4.95,107.64,2012
2012-04,-0.85,106.72,2012
2012-05,6.87,114.05,2012
2012-06,4.82,119.55,2012
2012-07,0.59,120.26,2012
2012-08,-0.11,120.12,2012
2012-09,0.88,121.18,2012
2012-10,2.78,124.55,2012
2012-11,1.09,125.91,2012
2012-12,0.1,126.03,2012
2013-02,3.57,103.57,2013
2013-03,6.36,110.16,2013
2013-04,5.73,116.47,2013
2013-05,1.22,117.89,2013
2013-06,-0.26,117.58,2013
2013-07,-0.72,116.74,2013
2013-08,-0.65,115.98,2013
2013-09,-0.99,114.83,2013
2013-10,3.23,118.54,2013
2013-11,2.31,121.28,2013
2013-12,-1.88,119.0,2013
2014-02,2.53,102.53,2014
2014-03,1.89,104.47,2014
2014-04,-1.09,103.33,2014
2014-05,3.51,106.96,2014
2014-06,1.3,108.35,2014
2014-07,2.49,111.04,2014
2014-08,1.81,113.05,2014
2014-09,4.55,118.2,2014
2014-10,4.94,124.04,2014
2014-11,-17.12,102.8,2014
2014-12,5.74,108.7,2014
