Month,Actual_Return_%,Value,Year
2007-02,-5.32,0.95,2007
2007-03,-17.75,0.78,2007
2007-04,-6.96,0.72,2007
2007-05,-2.85,0.7,2007
2007-06,0.05,0.7,2007
2007-07,3.15,0.73,2007
2007-08,0.34,0.73,2007
2007-09,3.04,0.75,2007
2007-10,-6.78,0.7,2007
2007-11,-1.02,0.69,2007
2007-12,1.75,0.71,2007
2008-02,-2.3,0.98,2008
2008-03,3.7,1.01,2008
2008-04,1.51,1.03,2008
2008-05,5.9,1.09,2008
2008-06,-0.2,1.09,2008
2008-07,-3.76,1.05,2008
2008-08,-8.34,0.96,2008
2008-09,-7.53,0.89,2008
2008-10,-12.63,0.77,2008
2008-11,-0.22,0.77,2008
2008-12,-7.09,0.72,2008
2009-02,-0.1,1.0,2009
2009-03,-7.29,0.93,2009
2009-04,0.87,0.93,2009
2009-05,1.88,0.95,2009
2009-06,5.82,1.01,2009
2009-07,3.69,1.04,2009
2009-08,-0.57,1.04,2009
2009-09,-3.02,1.01,2009
2009-10,-0.76,1.0,2009
2009-11,3.21,1.03,2009
2009-12,-0.87,1.02,2009
2010-02,2.09,1.02,2010
2010-03,11.94,1.14,2010
2010-04,4.27,1.19,2010
2010-05,3.77,1.24,2010
2010-06,-0.93,1.23,2010
2010-07,1.33,1.24,2010
2010-08,5.39,1.31,2010
2010-09,2.18,1.34,2010
2010-10,1.61,1.36,2010
2010-11,-1.47,1.34,2010
2010-12,-7.61,1.24,2010
2011-02,-0.66,0.99,2011
2011-03,-4.38,0.95,2011
2011-04,-0.33,0.95,2011
2011-05,-0.67,0.94,2011
2011-06,-4.01,0.9,2011
2011-07,-3.36,0.87,2011
2011-08,-5.57,0.82,2011
2011-09,-6.2,0.77,2011
2011-10,-1.72,0.76,2011
2011-11,4.93,0.8,2011
2011-12,-2.93,0.77,2011
2012-02,2.56,1.03,2012
2012-03,4.95,1.08,2012
2012-04,-0.85,1.07,2012
2012-05,6.87,1.14,2012
2012-06,4.82,1.2,2012
2012-07,0.59,1.2,2012
2012-08,-0.11,1.2,2012
2012-09,0.88,1.21,2012
2012-10,2.78,1.25,2012
2012-11,1.09,1.26,2012
2012-12,0.1,1.26,2012
2013-02,3.57,1.04,2013
2013-03,6.36,1.1,2013
2013-04,5.73,1.16,2013
2013-05,1.22,1.18,2013
2013-06,-0.26,1.18,2013
2013-07,-0.72,1.17,2013
2013-08,-0.65,1.16,2013
2013-09,-0.99,1.15,2013
2013-10,3.23,1.19,2013
2013-11,2.31,1.21,2013
2013-12,-1.88,1.19,2013
2014-02,2.53,1.03,2014
2014-03,1.89,1.04,2014
2014-04,-1.09,1.03,2014
2014-05,3.51,1.07,2014
2014-06,1.3,1.08,2014
2014-07,2.49,1.11,2014
2014-08,1.81,1.13,2014
2014-09,4.55,1.18,2014
2014-10,4.94,1.24,2014
2014-11,-17.12,1.03,2014
2014-12,5.74,1.09,2014
2015-02,-5.29,0.95,2015
2015-03,-1.91,0.93,2015
2015-04,8.69,1.01,2015
2015-05,0.83,1.02,2015
2015-06,-7.91,0.94,2015
2015-07,-7.55,0.87,2015
2015-08,-1.89,0.85,2015
2015-09,-4.5,0.81,2015
2015-10,-5.19,0.77,2015
2015-11,0.25,0.77,2015
2015-12,0.49,0.78,2015
2016-02,7.03,1.07,2016
2016-03,2.48,1.1,2016
2016-04,-0.7,1.09,2016
2016-05,-0.6,1.08,2016
2016-06,-1.75,1.06,2016
2016-07,-3.63,1.03,2016
2016-08,-3.42,0.99,2016
2016-09,-5.44,0.94,2016
2016-10,-2.47,0.91,2016
2016-11,-0.53,0.91,2016
2016-12,-1.12,0.9,2016
2017-01,-0.92,0.99,2017
2017-02,-1.39,0.98,2017
2017-03,1.13,0.99,2017
2017-04,2.26,1.01,2017
2017-05,1.09,1.02,2017
2017-06,4.09,1.06,2017
2017-07,2.43,1.09,2017
2017-08,3.48,1.13,2017
2017-09,-1.6,1.11,2017
2017-10,-1.95,1.09,2017
2017-11,1.42,1.1,2017
2017-12,-2.84,1.07,2017
2018-02,1.37,1.01,2018
2018-03,-0.4,1.01,2018
2018-04,0.71,1.02,2018
2018-05,-0.44,1.01,2018
2018-06,-3.32,0.98,2018
2018-07,-1.88,0.96,2018
2018-08,1.14,0.97,2018
2018-09,-4.51,0.93,2018
2018-10,-5.69,0.87,2018
2018-11,-2.05,0.86,2018
2018-12,-2.3,0.84,2018
2019-02,2.29,1.02,2019
2019-03,-2.01,1.0,2019
2019-04,-3.13,0.97,2019
2019-05,-5.25,0.92,2019
2019-06,-0.68,0.91,2019
2019-07,1.26,0.93,2019
2019-08,-1.55,0.91,2019
2019-09,-1.3,0.9,2019
2019-10,2.8,0.92,2019
2019-11,1.73,0.94,2019
2019-12,-1.16,0.93,2019
2020-02,-2.46,0.98,2020
2020-03,-10.11,0.88,2020
2020-04,-4.7,0.84,2020
2020-05,-2.54,0.81,2020
2020-06,-2.06,0.8,2020
2020-07,315.06,3.31,2020
2020-08,-1.32,3.27,2020
2020-09,4.35,3.41,2020
2020-10,-0.53,3.39,2020
2020-11,-0.6,3.37,2020
2020-12,1.45,3.42,2020
2021-02,1.92,1.02,2021
2021-03,1.78,1.04,2021
2021-04,-0.35,1.03,2021
2021-05,-0.27,1.03,2021
2021-06,1.73,1.05,2021
2021-07,1.89,1.07,2021
2021-08,2.13,1.09,2021
2021-09,-0.47,1.09,2021
2021-10,-2.2,1.06,2021
2021-11,-2.15,1.04,2021
2021-12,-1.04,1.03,2021
2022-02,1.65,1.02,2022
2022-03,-0.05,1.02,2022
2022-04,-1.51,1.0,2022
2022-05,-4.7,0.95,2022
2022-06,4.27,0.99,2022
2022-07,4.09,1.04,2022
2022-08,4.71,1.08,2022
2022-09,-0.68,1.08,2022
2022-10,-1.73,1.06,2022
2022-11,-2.49,1.03,2022
2022-12,0.64,1.04,2022
2023-02,0.56,1.01,2023
2023-03,-5.17,0.95,2023
2023-04,-0.65,0.95,2023
2023-05,2.48,0.97,2023
2023-06,2.47,0.99,2023
2023-07,3.98,1.03,2023
2023-08,-1.38,1.02,2023
2023-09,50.73,1.54,2023
2023-10,0.12,1.54,2023
2023-11,-3.06,1.49,2023
2023-12,0.68,1.5,2023
2024-02,1.03,1.01,2024
2024-03,-21.2,0.8,2024
2024-04,1.24,0.81,2024
2024-05,-1.75,0.79,2024
2024-06,-13.16,0.69,2024
2024-07,-3.23,0.67,2024
2024-08,23.45,0.82,2024
2024-09,0.41,0.82,2024
2024-10,-15.76,0.69,2024
2024-11,0.51,0.7,2024
2024-12,0.46,0.7,2024
2025-02,1.81,1.02,2025
2025-03,0.5,1.02,2025
2025-04,-1.57,1.01,2025
2025-05,1.25,1.02,2025
2025-06,5.81,1.08,2025
2025-07,6.73,1.15,2025
2025-08,4.82,1.21,2025
2025-09,7.09,1.29,2025
2025-10,3.25,1.33,2025
