Month,Actual_Return_%,Value,Year
2015-02,-5.29,2841.3,2015
2015-03,-1.91,2787.03,2015
2015-04,8.69,3029.22,2015
2015-05,0.83,3054.37,2015
2015-06,-7.91,2812.77,2015
2015-07,-7.55,2600.4,2015
2015-08,-1.89,2551.25,2015
2015-09,-4.5,2436.45,2015
2015-10,-5.19,2310.0,2015
2015-11,0.25,2315.77,2015
2015-12,0.49,2327.12,2015
2016-02,7.03,3210.9,2016
2016-03,2.48,3290.53,2016
2016-04,-0.7,3267.5,2016
2016-05,-0.6,3247.89,2016
2016-06,-1.75,3191.05,2016
2016-07,-3.63,3075.22,2016
2016-08,-3.42,2970.05,2016
2016-09,-5.44,2808.48,2016
2016-10,-2.47,2739.11,2016
2016-11,-0.53,2724.59,2016
2016-12,-1.12,2694.07,2016
2017-01,-0.92,2972.4,2017
2017-02,-1.39,2931.08,2017
2017-03,1.13,2964.2,2017
2017-04,2.26,3031.2,2017
2017-05,1.09,3064.24,2017
2017-06,4.09,3189.56,2017
2017-07,2.43,3267.07,2017
2017-08,3.48,3380.76,2017
2017-09,-1.6,3326.67,2017
2017-10,-1.95,3261.8,2017
2017-11,1.42,3308.12,2017
2017-12,-2.84,3214.17,2017
2018-02,1.37,3041.1,2018
2018-03,-0.4,3028.94,2018
2018-04,0.71,3050.44,2018
2018-05,-0.44,3037.02,2018
2018-06,-3.32,2936.19,2018
2018-07,-1.88,2880.99,2018
2018-08,1.14,2913.83,2018
2018-09,-4.51,2782.42,2018
2018-10,-5.69,2624.1,2018
2018-11,-2.05,2570.31,2018
2018-12,-2.3,2511.19,2018
2019-02,2.29,3068.7,2019
2019-03,-2.01,3007.02,2019
2019-04,-3.13,2912.9,2019
2019-05,-5.25,2759.97,2019
2019-06,-0.68,2741.2,2019
2019-07,1.26,2775.74,2019
2019-08,-1.55,2732.72,2019
2019-09,-1.3,2697.19,2019
2019-10,2.8,2772.72,2019
2019-11,1.73,2820.68,2019
2019-12,-1.16,2787.96,2019
2020-02,-2.46,2926.2,2020
2020-03,-10.11,2630.36,2020
2020-04,-4.7,2506.73,2020
2020-05,-2.54,2443.06,2020
2020-06,-2.06,2392.74,2020
2020-07,315.06,9931.29,2020
2020-08,-1.32,9800.2,2020
2020-09,4.35,10226.51,2020
2020-10,-0.53,10172.31,2020
2020-11,-0.6,10111.27,2020
2020-12,1.45,10257.88,2020
2021-02,1.92,3057.6,2021
2021-03,1.78,3112.03,2021
2021-04,-0.35,3101.13,2021
2021-05,-0.27,3092.76,2021
2021-06,1.73,3146.26,2021
2021-07,1.89,3205.73,2021
2021-08,2.13,3274.01,2021
2021-09,-0.47,3258.62,2021
2021-10,-2.2,3186.93,2021
2021-11,-2.15,3118.41,2021
2021-12,-1.04,3085.98,2021
2022-02,1.65,3049.5,2022
2022-03,-0.05,3047.98,2022
2022-04,-1.51,3001.95,2022
2022-05,-4.7,2860.86,2022
2022-06,4.27,2983.02,2022
2022-07,4.09,3105.02,2022
2022-08,4.71,3251.27,2022
2022-09,-0.68,3229.16,2022
2022-10,-1.73,3173.3,2022
2022-11,-2.49,3094.28,2022
2022-12,0.64,3114.09,2022
2023-02,0.56,3016.8,2023
2023-03,-5.17,2860.83,2023
2023-04,-0.65,2842.24,2023
2023-05,2.48,2912.72,2023
2023-06,2.47,2984.67,2023
2023-07,3.98,3103.46,2023
2023-08,-1.38,3060.63,2023
2023-09,50.73,4613.29,2023
2023-10,0.12,4618.82,2023
2023-11,-3.06,4477.49,2023
2023-12,0.68,4507.93,2023
2024-02,1.03,3030.9,2024
2024-03,-21.2,2388.35,2024
2024-04,1.24,2417.96,2024
2024-05,-1.75,2375.65,2024
2024-06,-13.16,2063.01,2024
2024-07,-3.23,1996.38,2024
2024-08,23.45,2464.53,2024
2024-09,0.41,2474.63,2024
2024-10,-15.76,2084.63,2024
2024-11,0.51,2095.26,2024
2024-12,0.46,2104.9,2024
2025-02,1.81,3054.3,2025
2025-03,0.5,3069.57,2025
2025-04,-1.57,3021.38,2025
2025-05,1.25,3059.15,2025
2025-06,5.81,3236.88,2025
2025-07,6.73,3454.73,2025
2025-08,4.82,3621.24,2025
2025-09,7.09,3877.99,2025
2025-10,3.25,4004.02,2025
