Month,Actual_Return_%,Value,Year
2007-02,-5.32,946.8,2007
2007-03,-17.75,778.74,2007
2007-04,-6.96,724.54,2007
2007-05,-2.85,703.89,2007
2007-06,0.05,704.24,2007
2007-07,3.15,726.43,2007
2007-08,0.34,728.9,2007
2007-09,3.04,751.06,2007
2007-10,-6.78,700.14,2007
2007-11,-1.02,692.99,2007
2007-12,1.75,705.12,2007
2008-02,-2.3,977.0,2008
2008-03,3.7,1013.15,2008
2008-04,1.51,1028.45,2008
2008-05,5.9,1089.13,2008
2008-06,-0.2,1086.95,2008
2008-07,-3.76,1046.08,2008
2008-08,-8.34,958.84,2008
2008-09,-7.53,886.64,2008
2008-10,-12.63,774.65,2008
2008-11,-0.22,772.95,2008
2008-12,-7.09,718.15,2008
2009-02,-0.1,999.0,2009
2009-03,-7.29,926.17,2009
2009-04,0.87,934.23,2009
2009-05,1.88,951.79,2009
2009-06,5.82,1007.19,2009
2009-07,3.69,1044.35,2009
2009-08,-0.57,1038.4,2009
2009-09,-3.02,1007.04,2009
2009-10,-0.76,999.39,2009
2009-11,3.21,1031.47,2009
2009-12,-0.87,1022.49,2009
2010-02,2.09,1020.9,2010
2010-03,11.94,1142.8,2010
2010-04,4.27,1191.59,2010
2010-05,3.77,1236.52,2010
2010-06,-0.93,1225.02,2010
2010-07,1.33,1241.31,2010
2010-08,5.39,1308.22,2010
2010-09,2.18,1336.73,2010
2010-10,1.61,1358.26,2010
2010-11,-1.47,1338.29,2010
2010-12,-7.61,1236.45,2010
2011-02,-0.66,993.4,2011
2011-03,-4.38,949.89,2011
2011-04,-0.33,946.75,2011
2011-05,-0.67,940.41,2011
2011-06,-4.01,902.7,2011
2011-07,-3.36,872.37,2011
2011-08,-5.57,823.78,2011
2011-09,-6.2,772.7,2011
2011-10,-1.72,759.41,2011
2011-11,4.93,796.85,2011
2011-12,-2.93,773.51,2011
2012-02,2.56,1025.6,2012
2012-03,4.95,1076.37,2012
2012-04,-0.85,1067.22,2012
2012-05,6.87,1140.54,2012
2012-06,4.82,1195.51,2012
2012-07,0.59,1202.56,2012
2012-08,-0.11,1201.24,2012
2012-09,0.88,1211.81,2012
2012-10,2.78,1245.5,2012
2012-11,1.09,1259.08,2012
2012-12,0.1,1260.33,2012
2013-02,3.57,1035.7,2013
2013-03,6.36,1101.57,2013
2013-04,5.73,1164.69,2013
2013-05,1.22,1178.9,2013
2013-06,-0.26,1175.83,2013
2013-07,-0.72,1167.37,2013
2013-08,-0.65,1159.78,2013
2013-09,-0.99,1148.3,2013
2013-10,3.23,1185.39,2013
2013-11,2.31,1212.77,2013
2013-12,-1.88,1189.97,2013
2014-02,2.53,1025.3,2014
2014-03,1.89,1044.68,2014
2014-04,-1.09,1033.29,2014
2014-05,3.51,1069.56,2014
2014-06,1.3,1083.46,2014
2014-07,2.49,1110.44,2014
2014-08,1.81,1130.54,2014
2014-09,4.55,1181.98,2014
2014-10,4.94,1240.37,2014
2014-11,-17.12,1028.02,2014
2014-12,5.74,1087.03,2014
2015-02,-5.29,947.1,2015
2015-03,-1.91,929.01,2015
2015-04,8.69,1009.74,2015
2015-05,0.83,1018.12,2015
2015-06,-7.91,937.59,2015
2015-07,-7.55,866.8,2015
2015-08,-1.89,850.42,2015
2015-09,-4.5,812.15,2015
2015-10,-5.19,770.0,2015
2015-11,0.25,771.92,2015
2015-12,0.49,775.71,2015
2016-02,7.03,1070.3,2016
2016-03,2.48,1096.84,2016
2016-04,-0.7,1089.17,2016
2016-05,-0.6,1082.63,2016
2016-06,-1.75,1063.68,2016
2016-07,-3.63,1025.07,2016
2016-08,-3.42,990.02,2016
2016-09,-5.44,936.16,2016
2016-10,-2.47,913.04,2016
2016-11,-0.53,908.2,2016
2016-12,-1.12,898.02,2016
2017-01,-0.92,990.8,2017
2017-02,-1.39,977.03,2017
2017-03,1.13,988.07,2017
2017-04,2.26,1010.4,2017
2017-05,1.09,1021.41,2017
2017-06,4.09,1063.19,2017
2017-07,2.43,1089.02,2017
2017-08,3.48,1126.92,2017
2017-09,-1.6,1108.89,2017
2017-10,-1.95,1087.27,2017
2017-11,1.42,1102.71,2017
2017-12,-2.84,1071.39,2017
2018-02,1.37,1013.7,2018
2018-03,-0.4,1009.65,2018
2018-04,0.71,1016.81,2018
2018-05,-0.44,1012.34,2018
2018-06,-3.32,978.73,2018
2018-07,-1.88,960.33,2018
2018-08,1.14,971.28,2018
2018-09,-4.51,927.47,2018
2018-10,-5.69,874.7,2018
2018-11,-2.05,856.77,2018
2018-12,-2.3,837.06,2018
2019-02,2.29,1022.9,2019
2019-03,-2.01,1002.34,2019
2019-04,-3.13,970.97,2019
2019-05,-5.25,919.99,2019
2019-06,-0.68,913.73,2019
2019-07,1.26,925.25,2019
2019-08,-1.55,910.91,2019
2019-09,-1.3,899.06,2019
2019-10,2.8,924.24,2019
2019-11,1.73,940.23,2019
2019-12,-1.16,929.32,2019
2020-02,-2.46,975.4,2020
2020-03,-10.11,876.79,2020
2020-04,-4.7,835.58,2020
2020-05,-2.54,814.35,2020
2020-06,-2.06,797.58,2020
2020-07,315.06,3310.43,2020
2020-08,-1.32,3266.73,2020
2020-09,4.35,3408.84,2020
2020-10,-0.53,3390.77,2020
2020-11,-0.6,3370.42,2020
2020-12,1.45,3419.29,2020
2021-02,1.92,1019.2,2021
2021-03,1.78,1037.34,2021
2021-04,-0.35,1033.71,2021
2021-05,-0.27,1030.92,2021
2021-06,1.73,1048.75,2021
2021-07,1.89,1068.58,2021
2021-08,2.13,1091.34,2021
2021-09,-0.47,1086.21,2021
2021-10,-2.2,1062.31,2021
2021-11,-2.15,1039.47,2021
2021-12,-1.04,1028.66,2021
2022-02,1.65,1016.5,2022
2022-03,-0.05,1015.99,2022
2022-04,-1.51,1000.65,2022
2022-05,-4.7,953.62,2022
2022-06,4.27,994.34,2022
2022-07,4.09,1035.01,2022
2022-08,4.71,1083.76,2022
2022-09,-0.68,1076.39,2022
2022-10,-1.73,1057.77,2022
2022-11,-2.49,1031.43,2022
2022-12,0.64,1038.03,2022
2023-02,0.56,1005.6,2023
2023-03,-5.17,953.61,2023
2023-04,-0.65,947.41,2023
2023-05,2.48,970.91,2023
2023-06,2.47,994.89,2023
2023-07,3.98,1034.49,2023
2023-08,-1.38,1020.21,2023
2023-09,50.73,1537.76,2023
2023-10,0.12,1539.61,2023
2023-11,-3.06,1492.5,2023
2023-12,0.68,1502.64,2023
2024-02,1.03,1010.3,2024
2024-03,-21.2,796.12,2024
2024-04,1.24,805.99,2024
2024-05,-1.75,791.88,2024
2024-06,-13.16,687.67,2024
2024-07,-3.23,665.46,2024
2024-08,23.45,821.51,2024
2024-09,0.41,824.88,2024
2024-10,-15.76,694.88,2024
2024-11,0.51,698.42,2024
2024-12,0.46,701.63,2024
2025-02,1.81,1018.1,2025
2025-03,0.5,1023.19,2025
2025-04,-1.57,1007.13,2025
2025-05,1.25,1019.72,2025
2025-06,5.81,1078.96,2025
2025-07,6.73,1151.58,2025
2025-08,4.82,1207.08,2025
2025-09,7.09,1292.66,2025
