Month,Actual_Return_%,Value,Year
2007-02,0.46,1004.6,2007
2007-03,0.46,1009.22,2007
2007-04,0.46,1013.86,2007
2007-05,0.46,1018.53,2007
2007-06,0.46,1023.21,2007
2007-07,0.46,1027.92,2007
2007-08,0.46,1032.65,2007
2007-09,0.46,1037.4,2007
2007-10,0.46,1042.17,2007
2007-11,0.46,1046.96,2007
2007-12,0.46,1051.78,2007
2008-02,-3.08,969.2,2008
2008-03,-3.08,939.35,2008
2008-04,-3.08,910.42,2008
2008-05,-3.08,882.38,2008
2008-06,-3.08,855.2,2008
2008-07,-3.08,828.86,2008
2008-08,-3.08,803.33,2008
2008-09,-3.08,778.59,2008
2008-10,-3.08,754.61,2008
2008-11,-3.08,731.36,2008
2008-12,-3.08,708.84,2008
2009-02,2.2,1022.0,2009
2009-03,2.2,1044.48,2009
2009-04,2.2,1067.46,2009
2009-05,2.2,1090.95,2009
2009-06,2.2,1114.95,2009
2009-07,2.2,1139.48,2009
2009-08,2.2,1164.54,2009
2009-09,2.2,1190.16,2009
2009-10,2.2,1216.35,2009
2009-11,2.2,1243.11,2009
2009-12,2.2,1270.46,2009
2010-02,1.25,1012.5,2010
2010-03,1.25,1025.16,2010
2010-04,1.25,1037.97,2010
2010-05,1.25,1050.95,2010
2010-06,1.25,1064.08,2010
2010-07,1.25,1077.38,2010
2010-08,1.25,1090.85,2010
2010-09,1.25,1104.49,2010
2010-10,1.25,1118.29,2010
2010-11,1.25,1132.27,2010
2010-12,1.25,1146.42,2010
2011-02,0.18,1001.8,2011
2011-03,0.18,1003.6,2011
2011-04,0.18,1005.41,2011
2011-05,0.18,1007.22,2011
2011-06,0.18,1009.03,2011
2011-07,0.18,1010.85,2011
2011-08,0.18,1012.67,2011
2011-09,0.18,1014.49,2011
2011-10,0.18,1016.32,2011
2011-11,0.18,1018.15,2011
2011-12,0.18,1019.98,2011
2012-02,1.33,1013.3,2012
2012-03,1.33,1026.78,2012
2012-04,1.33,1040.43,2012
2012-05,1.33,1054.27,2012
2012-06,1.33,1068.29,2012
2012-07,1.33,1082.5,2012
2012-08,1.33,1096.9,2012
2012-09,1.33,1111.49,2012
2012-10,1.33,1126.27,2012
2012-11,1.33,1141.25,2012
2012-12,1.33,1156.43,2012
2013-02,2.7,1027.0,2013
2013-03,2.7,1054.73,2013
2013-04,2.7,1083.21,2013
2013-05,2.7,1112.45,2013
2013-06,2.7,1142.49,2013
2013-07,2.7,1173.34,2013
2013-08,2.7,1205.02,2013
2013-09,2.7,1237.55,2013
2013-10,2.7,1270.97,2013
2013-11,2.7,1305.28,2013
2013-12,2.7,1340.52,2013
2014-02,1.14,1011.4,2014
2014-03,1.14,1022.93,2014
2014-04,1.14,1034.59,2014
2014-05,1.14,1046.39,2014
