Month,Actual_Return_%,Value,Year
2007-02,0.46,100.46,2007
2007-03,0.46,100.92,2007
2007-04,0.46,101.39,2007
2007-05,0.46,101.85,2007
2007-06,0.46,102.32,2007
2007-07,0.46,102.79,2007
2007-08,0.46,103.26,2007
2007-09,0.46,103.74,2007
2007-10,0.46,104.22,2007
2007-11,0.46,104.7,2007
2007-12,0.46,105.18,2007
2008-02,-3.08,96.92,2008
2008-03,-3.08,93.93,2008
2008-04,-3.08,91.04,2008
2008-05,-3.08,88.24,2008
2008-06,-3.08,85.52,2008
2008-07,-3.08,82.89,2008
2008-08,-3.08,80.33,2008
2008-09,-3.08,77.86,2008
2008-10,-3.08,75.46,2008
2008-11,-3.08,73.14,2008
2008-12,-3.08,70.88,2008
2009-02,2.2,102.2,2009
2009-03,2.2,104.45,2009
2009-04,2.2,106.75,2009
2009-05,2.2,109.09,2009
2009-06,2.2,111.49,2009
2009-07,2.2,113.95,2009
2009-08,2.2,116.45,2009
2009-09,2.2,119.02,2009
2009-10,2.2,121.63,2009
2009-11,2.2,124.31,2009
2009-12,2.2,127.05,2009
2010-02,1.25,101.25,2010
2010-03,1.25,102.52,2010
2010-04,1.25,103.8,2010
2010-05,1.25,105.09,2010
2010-06,1.25,106.41,2010
2010-07,1.25,107.74,2010
2010-08,1.25,109.09,2010
2010-09,1.25,110.45,2010
2010-10,1.25,111.83,2010
2010-11,1.25,113.23,2010
2010-12,1.25,114.64,2010
2011-02,0.18,100.18,2011
2011-03,0.18,100.36,2011
2011-04,0.18,100.54,2011
2011-05,0.18,100.72,2011
2011-06,0.18,100.9,2011
2011-07,0.18,101.08,2011
2011-08,0.18,101.27,2011
2011-09,0.18,101.45,2011
2011-10,0.18,101.63,2011
2011-11,0.18,101.81,2011
2011-12,0.18,102.0,2011
2012-02,1.33,101.33,2012
2012-03,1.33,102.68,2012
2012-04,1.33,104.04,2012
2012-05,1.33,105.43,2012
2012-06,1.33,106.83,2012
2012-07,1.33,108.25,2012
2012-08,1.33,109.69,2012
2012-09,1.33,111.15,2012
2012-10,1.33,112.63,2012
2012-11,1.33,114.12,2012
2012-12,1.33,115.64,2012
2013-02,2.7,102.7,2013
2013-03,2.7,105.47,2013
2013-04,2.7,108.32,2013
2013-05,2.7,111.25,2013
2013-06,2.7,114.25,2013
2013-07,2.7,117.33,2013
2013-08,2.7,120.5,2013
2013-09,2.7,123.76,2013
2013-10,2.7,127.1,2013
2013-11,2.7,130.53,2013
2013-12,2.7,134.05,2013
2014-02,1.14,101.14,2014
2014-03,1.14,102.29,2014
2014-04,1.14,103.46,2014
2014-05,1.14,104.64,2014
2014-06,1.14,105.83,2014
2014-07,1.14,107.04,2014
2014-08,1.14,108.26,2014
2014-09,1.14,109.49,2014
2014-10,1.14,110.74,2014
2014-11,1.14,112.0,2014
2014-12,1.14,113.28,2014
2015-02,0.11,100.11,2015
2015-03,0.11,100.22,2015
2015-04,0.11,100.33,2015
2015-05,0.11,100.44,2015
2015-06,0.11,100.55,2015
2015-07,0.11,100.66,2015
2015-08,0.11,100.77,2015
2015-09,0.11,100.88,2015
2015-10,0.11,100.99,2015
2015-11,0.11,101.11,2015
2015-12,0.11,101.22,2015
2016-02,1.0,101.0,2016
2016-03,1.0,102.01,2016
2016-04,1.0,103.03,2016
2016-05,1.0,104.06,2016
2016-06,1.0,105.1,2016
2016-07,1.0,106.15,2016
