Month,Projected_Return_%,Projected_Value
2026-01,1.93,101.93
2026-02,1.93,103.89
2026-03,1.93,105.9
2026-04,1.93,107.94
2026-05,1.93,110.02
2026-06,1.84,112.04
2026-07,1.93,114.2
2026-08,2.8,117.4
2026-09,2.8,120.69
2026-10,2.8,124.08
2026-11,2.79,127.54
2026-12,2.8,131.11
2027-01,2.8,134.79
2027-02,2.82,138.59
2027-03,2.82,142.5
2027-04,2.64,146.26
2027-05,2.74,150.27
2027-06,2.7,154.32
2027-07,-1.17,152.51
2027-08,-1.17,150.73
2027-09,-1.17,148.97
2027-10,-1.25,147.11
2027-11,-1.17,145.39
2027-12,-1.17,143.69
2028-01,-1.17,142.01
2028-02,-1.17,140.35
2028-03,-1.18,138.7
2028-04,-1.26,136.95
2028-05,-1.17,135.35
2028-06,2.9,139.27
2028-07,2.6,142.89
2028-08,2.6,146.6
2028-09,2.6,150.41
2028-10,2.55,154.25
2028-11,2.6,158.26
2028-12,2.6,162.37
2029-01,2.6,166.59
2029-02,2.95,171.5
2029-03,2.52,175.82
2029-04,2.6,180.38
2029-05,2.49,184.87
2029-06,2.49,189.48
2029-07,2.49,194.19
2029-08,2.49,199.03
2029-09,2.49,203.98
2029-10,2.49,209.06
2029-11,2.59,214.48
2029-12,2.65,220.16
2030-01,2.35,225.33
2030-02,2.44,230.82
2030-03,2.49,236.57
2030-04,1.88,241.03
2030-05,1.88,245.57
2030-06,1.88,250.19
2030-07,1.82,254.74
2030-08,1.88,259.54
2030-09,1.98,264.69
2030-10,1.88,269.68
2030-11,1.88,274.76
2030-12,1.87,279.91
